"filename", "language", "Python", "MS SQL", "Markdown", "comment", "blank", "total"
"c:\Users\Mg Magic\Documents\Programming_Project\UI\menu.py", "Python", 69, 0, 0, 0, 1, 70
"c:\Users\Mg Magic\Documents\Programming_Project\architecture.md", "Markdown", 0, 0, 33, 0, 20, 53
"c:\Users\Mg Magic\Documents\Programming_Project\database\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\database\config.py", "Python", 64, 0, 0, 4, 5, 73
"c:\Users\Mg Magic\Documents\Programming_Project\debug_test.db", "MS SQL", 0, 11, 0, 0, 0, 11
"c:\Users\Mg Magic\Documents\Programming_Project\debug_test.py", "Python", 18, 0, 0, 4, 6, 28
"c:\Users\Mg Magic\Documents\Programming_Project\storage.db", "MS SQL", 0, 24, 0, 0, 0, 24
"c:\Users\Mg Magic\Documents\Programming_Project\storage\IStorageRepository.py", "Python", 21, 0, 0, 0, 9, 30
"c:\Users\Mg Magic\Documents\Programming_Project\storage\IStorageService.py", "Python", 21, 0, 0, 0, 9, 30
"c:\Users\Mg Magic\Documents\Programming_Project\storage\StorageRepository.py", "Python", 41, 0, 0, 10, 9, 60
"c:\Users\Mg Magic\Documents\Programming_Project\storage\StorageService.py", "Python", 18, 0, 0, 0, 9, 27
"c:\Users\Mg Magic\Documents\Programming_Project\storage\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\storage\dto.py", "Python", 5, 0, 0, 0, 0, 5
"c:\Users\Mg Magic\Documents\Programming_Project\test.db", "MS SQL", 0, 10, 0, 0, 0, 10
"c:\Users\Mg Magic\Documents\Programming_Project\test_storage_repo.db", "MS SQL", 0, 13, 0, 0, 1, 14
"c:\Users\Mg Magic\Documents\Programming_Project\test_user_repo.db", "MS SQL", 0, 11, 0, 0, 0, 11
"c:\Users\Mg Magic\Documents\Programming_Project\tests\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\tests\storage_repository_test.py", "Python", 85, 0, 0, 25, 24, 134
"c:\Users\Mg Magic\Documents\Programming_Project\tests\user_repository_test.py", "Python", 100, 0, 0, 27, 30, 157
"c:\Users\Mg Magic\Documents\Programming_Project\user\IUserRepository.py", "Python", 25, 0, 0, 0, 8, 33
"c:\Users\Mg Magic\Documents\Programming_Project\user\IUserService.py", "Python", 25, 0, 0, 0, 8, 33
"c:\Users\Mg Magic\Documents\Programming_Project\user\UserRepository.py", "Python", 49, 0, 0, 11, 10, 70
"c:\Users\Mg Magic\Documents\Programming_Project\user\UserService.py", "Python", 21, 0, 0, 0, 9, 30
"c:\Users\Mg Magic\Documents\Programming_Project\user\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\user\dto.py", "Python", 5, 0, 0, 0, 0, 5
"Total", "-", 567, 69, 33, 81, 162, 912
