"filename", "language", "Python", "MS SQL", "Ini", "Markdown", "Properties", "JSON", "comment", "blank", "total"
"c:\Users\Mg Magic\Documents\Programming_Project\.env", "Properties", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\Mg Magic\Documents\Programming_Project\.vs\Programming_Project.slnx\v18\DocumentLayout.backup.json", "JSON", 0, 0, 0, 0, 0, 133, 0, 0, 133
"c:\Users\Mg Magic\Documents\Programming_Project\.vs\Programming_Project.slnx\v18\DocumentLayout.json", "JSON", 0, 0, 0, 0, 0, 167, 0, 0, 167
"c:\Users\Mg Magic\Documents\Programming_Project\.vs\Programming_Project\CopilotIndices\18.3.95.3864\CodeChunks.db", "MS SQL", 0, 4810, 0, 0, 0, 0, 0, 76, 4886
"c:\Users\Mg Magic\Documents\Programming_Project\.vs\Programming_Project\CopilotIndices\18.3.95.3864\SemanticSymbols.db", "MS SQL", 0, 195, 0, 0, 0, 0, 0, 3, 198
"c:\Users\Mg Magic\Documents\Programming_Project\.vs\ProjectSettings.json", "JSON", 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\Mg Magic\Documents\Programming_Project\.vs\PythonSettings.json", "JSON", 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\Mg Magic\Documents\Programming_Project\.vs\VSWorkspaceState.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\Mg Magic\Documents\Programming_Project\.vs\slnx.sqlite", "MS SQL", 0, 542, 0, 0, 0, 0, 0, 3, 545
"c:\Users\Mg Magic\Documents\Programming_Project\.vs\tasks.vs.json", "JSON", 0, 0, 0, 0, 0, 10, 0, 0, 10
"c:\Users\Mg Magic\Documents\Programming_Project\Docs\architecture.md", "Markdown", 0, 0, 0, 45, 0, 0, 0, 24, 69
"c:\Users\Mg Magic\Documents\Programming_Project\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\pytest.ini", "Ini", 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\Mg Magic\Documents\Programming_Project\src\Application\Application.py", "Python", 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\Mg Magic\Documents\Programming_Project\src\Application\IApplication.py", "Python", 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Mg Magic\Documents\Programming_Project\src\Application\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\src\UI\ScreensEnums.py", "Python", 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Mg Magic\Documents\Programming_Project\src\UI\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\src\UI\menu.py", "Python", 69, 0, 0, 0, 0, 0, 0, 1, 70
"c:\Users\Mg Magic\Documents\Programming_Project\src\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
